State,total,alcohol,speeding,not_distracted,no_previous,ins_premium,ins_losses,abbrev
Alabama,18.2,5.8,7.1,15.4,11.5,790.1,145.0,AL
Alaska,15.3,4.3,6.5,14.2,10.9,820.4,139.8,AK
Arizona,17.0,5.5,7.0,15.2,12.2,775.2,138.3,AZ
Arkansas,16.1,4.9,6.2,14.0,10.6,730.8,133.5,AR
California,14.8,4.4,5.7,13.8,12.1,920.3,155.2,CA
Colorado,16.9,5.1,6.8,14.9,11.4,860.2,146.1,CO
Connecticut,13.6,4.0,5.2,12.7,10.8,950.6,160.0,CT
Delaware,18.0,5.7,7.0,15.5,11.3,780.2,142.8,DE
Florida,17.5,5.6,6.8,15.1,12.0,870.1,150.7,FL
Georgia,16.4,5.0,6.2,14.5,10.7,785.0,140.9,GA
Hawaii,15.0,4.2,5.9,13.4,9.9,950.4,159.7,HI
Idaho,13.8,4.1,5.5,12.8,9.8,740.2,130.2,ID
Illinois,14.2,4.3,5.6,13.7,10.5,900.0,152.4,IL
Indiana,15.6,4.7,6.0,13.9,11.0,760.1,135.7,IN
Iowa,12.8,3.7,4.8,11.9,9.4,730.3,128.8,IA
Kansas,14.5,4.2,5.9,13.5,10.2,765.2,134.0,KS
Kentucky,17.2,5.3,7.1,15.0,11.9,790.7,143.2,KY
Louisiana,19.0,6.0,7.6,16.1,12.4,810.5,147.5,LA
Maine,12.7,3.6,4.7,12.0,9.3,720.4,127.0,ME
Maryland,14.0,4.4,5.5,13.3,10.6,820.8,148.1,MD
Massachusetts,13.4,3.8,5.1,12.5,10.2,970.6,163.5,MA
Michigan,15.1,4.6,6.2,13.7,10.8,820.2,143.7,MI
Minnesota,13.9,4.0,5.4,13.0,10.0,780.2,132.5,MN
Mississippi,18.9,5.9,7.3,16.2,12.5,740.9,141.4,MS
Missouri,15.7,4.8,6.1,14.1,10.9,810.2,140.2,MO
Montana,16.8,5.2,6.7,15.0,11.1,735.2,129.3,MT
Nebraska,13.2,3.9,5.0,12.2,9.7,710.4,126.4,NE
Nevada,16.0,5.0,6.5,14.6,11.2,850.7,145.9,NV
New Hampshire,12.6,3.8,4.6,11.8,9.4,945.0,161.1,NH
New Jersey,13.8,4.1,5.3,12.9,10.5,980.2,164.3,NJ
New Mexico,18.5,5.8,7.2,15.8,12.2,755.6,138.8,NM
New York,12.9,3.9,5.0,12.1,10.1,1010.6,169.5,NY
North Carolina,16.2,5.1,6.4,14.7,11.8,760.8,136.0,NC
North Dakota,12.3,3.5,4.5,11.6,9.2,710.7,125.5,ND
Ohio,13.7,4.1,5.4,13.1,10.3,760.2,134.2,OH
Oklahoma,17.8,5.5,7.0,15.7,11.6,730.3,137.1,OK
Oregon,14.3,4.2,5.7,13.6,10.0,840.4,143.9,OR
Pennsylvania,14.5,4.3,5.8,13.8,10.7,850.7,146.7,PA
Rhode Island,13.1,3.8,5.0,12.3,9.8,900.5,153.2,RI
South Carolina,18.3,5.6,7.2,15.6,12.1,765.2,139.4,SC
South Dakota,12.2,3.6,4.6,11.7,9.1,720.2,126.1,SD
Tennessee,17.1,5.4,6.8,15.3,11.7,780.9,141.6,TN
Texas,15.9,5.0,6.2,14.3,11.2,790.0,144.0,TX
Utah,13.5,3.9,5.2,12.6,9.9,765.8,130.7,UT
Vermont,12.4,3.5,4.7,11.8,9.3,700.7,124.2,VT
Virginia,14.7,4.4,5.6,13.5,10.6,810.3,142.6,VA
Washington,13.6,3.9,5.3,12.8,10.1,920.5,155.9,WA
West Virginia,16.3,5.1,6.7,14.9,11.3,720.7,129.8,WV
Wisconsin,13.8,4.0,5.5,13.0,10.2,740.8,132.1,WI
Wyoming,14.2,4.2,5.8,13.4,9.8,720.2,127.5,WY
