total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Female,No,Sun,Dinner,2
24.59,3.61,Male,No,Sun,Dinner,4
25.29,4.71,Female,No,Sun,Dinner,4
8.77,2.00,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,1.96,Female,Yes,Sun,Dinner,2
14.78,3.23,Male,Yes,Sun,Dinner,2
10.27,1.67,Male,Yes,Sun,Dinner,2
35.26,5.00,Female,Yes,Sun,Dinner,4
15.42,1.57,Male,Yes,Sun,Dinner,2
18.43,3.00,Female,Yes,Sun,Dinner,4
14.83,3.02,Male,No,Thur,Lunch,2
21.58,3.92,Female,No,Thur,Lunch,2
18.95,3.00,Male,No,Thur,Lunch,2
12.00,2.00,Female,No,Thur,Lunch,2
17.20,2.80,Male,No,Thur,Lunch,2
19.82,3.18,Female,No,Thur,Lunch,2
20.53,2.00,Male,No,Thur,Lunch,2
16.60,2.50,Female,Yes,Fri,Lunch,2
21.08,2.50,Male,Yes,Fri,Lunch,3
23.95,2.00,Female,Yes,Fri,Lunch,2
26.27,3.50,Male,Yes,Fri,Lunch,4
22.23,3.50,Female,Yes,Fri,Lunch,2
24.50,3.00,Male,Yes,Fri,Lunch,4
20.24,2.75,Female,No,Sat,Dinner,2
19.81,2.50,Male,No,Sat,Dinner,2
18.59,3.00,Female,No,Sat,Dinner,3
17.80,2.20,Male,No,Sat,Dinner,2
33.27,5.50,Female,No,Sat,Dinner,4
24.55,3.25,Male,No,Sat,Dinner,4
16.15,2.50,Female,No,Sat,Dinner,2
21.90,3.00,Male,No,Sat,Dinner,3
22.67,3.50,Female,No,Sun,Dinner,2
17.31,2.50,Male,Yes,Sun,Dinner,2
18.79,3.00,Female,Yes,Sun,Dinner,3
21.44,3.50,Male,Yes,Sun,Dinner,4
12.67,2.00,Female,Yes,Sun,Dinner,2
11.88,2.50,Male,Yes,Sun,Dinner,2
